AÑO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,Lluvia_mm,PROMEDIO,MESES
1961,9,3,16.5,1.6,32.1,203.1,182.7,78.7,84.9,7.7,11.3,4,634.6,52.9,12
1962,0,0,4,73.2,46.5,107.9,86.1,134.2,120.2,87.7,6.5,18.5,684.8,57.1,12
1963,0,0,24,12.3,61.3,104.3,146.7,113,83,72.5,6.2,0,623.3,51.9,12
1964,18.1,0,9.6,3.5,95.9,123.9,124.3,67.8,62.9,17.4,8.8,3.3,535.5,44.6,12
1965,6,22.7,0,51.3,51.5,120.4,165.6,177.22,47.01,66.72,0.01,13,721.46,60.1,12
1966,12.5,1.33,47.62,30.92,31.73,129.61,196.41,156.54,76.54,41.83,0,3.5,728.53,60.7,12
1967,91,0,3.4,52.3,37.4,97.4,161,190.2,151,50.2,9.3,4.2,847.4,70.6,12
1968,16.3,17.5,0.01,59.1,44.62,203.21,129.87,77.62,73.47,74.96,1.2,15.9,713.76,59.5,12
1969,12.6,1.6,7.5,7.3,12.1,67.2,133.1,161.4,179.1,6.3,0,0,588.2,49,12
1970,3.2,4.8,0,10.5,24.3,96.4,188.7,165.2,110.3,79.4,0,0,682.8,56.9,12
1971,0,1.7,14.3,31.6,25.1,111.5,79.6,113,105.5,26.3,11.4,16.7,536.7,44.7,12
1972,0,1.4,19.3,45.2,164,85.3,198,111.5,104.8,60.8,18.7,0,809,67.4,12
1973,0,4.8,0.6,23.2,87.2,109.1,142.8,125.2,97.8,74.8,14.7,0,680.2,56.7,12
1974,0,0,28.9,38.2,40.1,118.4,84.5,115.9,55.8,25.5,6.5,0,513.8,42.8,12
1975,35.5,0.9,1.8,2.9,124.6,102.9,88.8,187,68.6,19.8,0,0,632.8,52.7,12
1976,0.5,7.5,23.8,43.1,87.8,61.6,163.4,174.6,180.9,118.6,5.8,21,888.6,74,12
1977,1,9.4,0,3.8,77.5,79.7,88.8,55.3,115.4,34.4,18.2,4.5,488,40.7,12
1978,3.8,15.8,60.7,1,23.9,154,206.4,91.5,89.9,65.9,8.5,0.5,721.9,60.2,12
1979,0,21.9,0.6,15.9,56.5,82,134.3,149.6,122.6,1.4,0,32.7,617.5,51.5,12
1980,56.4,1.8,3.3,55.2,24.9,42.3,51.6,126.6,73.1,71.7,20.9,0,527.8,44,12
1981,26.4,25.6,9.1,26.1,52.7,115.2,102.3,113.8,75.5,53.4,3.7,2.6,606.4,50.5,12
1982,0,17.3,0.5,15.4,75.9,62.7,139.2,58.8,26.9,35.7,0.3,1.2,433.9,36.2,12
1983,10.3,15.6,12,0,7.6,53.4,163.5,95.3,77.9,35.7,5.4,2.5,479.2,39.9,12
1984,11.7,5.83,2.06,3.53,72.07,85.89,144.74,97.65,76.46,42.53,0,2.61,545.07,45.4,12
1985,0.01,16.63,15.03,26.68,30.33,161.85,122.87,69.68,130.24,15.91,10.1,11.4,610.73,50.9,12
1986,0,0,0,37.49,94.87,134.73,185.14,165.52,54.95,52.47,8.45,2.01,735.63,61.3,12
1987,0,0.31,13.23,12.37,27.78,116.69,114.25,230.68,90.18,0,9.23,0,614.72,51.2,12
1988,0,0.24,51.23,19.47,50.47,95.16,133.15,97.14,97.21,10.72,0.01,0,554.8,46.2,12
1989,2.03,1.5,3.14,6.79,15.77,125.79,73.31,143.3,87.66,24.6,11.8,9.41,505.1,42.1,12
1990,0,0.93,9.96,38.09,45.82,92.27,132.35,148.63,63.16,32.84,0,0,564.05,47,12
1991,0,0.93,0,,64.95,144.37,112.21,65.64,43.29,60.15,2.8,0,494.34,44.9,11
1992,39.21,18.1,10.8,9.62,30.74,26.88,94.46,221.82,105.89,70.43,,1.52,629.47,57.2,11
1993,0,1.92,3.32,,18.44,183.58,112.42,58.83,,,0.8,0,379.31,42.1,9
1994,0.04,0.01,1.1,38.55,63.02,111.91,78.51,116.27,81.95,31.61,0,3.6,526.57,43.9,12
1995,20.8,3.33,3.42,1.64,53.43,150.61,67.6,130.5,33.31,0,0,30.12,494.76,41.2,12
1996,0,0.01,2.1,6.72,20.16,49.94,64.46,51.07,86.31,30.4,0,0,311.17,25.9,12
1997,0,0,29.21,55.8,39.1,59.63,95.73,65.8,155.7,44.1,10,11.41,566.48,47.2,12
1998,6.8,0,0,0.02,0.01,44.61,126.96,136.94,180.43,42.49,17.02,0,555.28,46.3,12
1999,0,0.01,2.03,16.23,7.06,62.47,128.11,176.1,77.43,52.92,0.02,0.01,522.39,43.5,12
2000,0,0,,,,151.84,203.6,120.73,67.63,86.31,11.9,0,642.01,71.3,9
2001,4.5,2,20.81,36.33,36.43,65.14,120.33,66.62,110.67,27.24,2.91,0,492.98,41.1,12
2002,5.8,1.21,6.71,47.84,39.56,65.14,145.64,136.03,101.06,95.54,5.75,0,650.28,54.2,12
2003,0.01,0.01,14.42,5.26,9.38,143.02,112.23,105.86,94.67,51.33,3,0,539.19,44.9,12
2004,26.51,0.3,18.01,21.42,42.05,168.75,83.25,115.97,133.44,27.84,2.02,0.7,640.26,53.4,12
2005,0.01,1.3,13.61,22.64,29.13,42.41,107.8,136.25,36.71,83.05,17.71,0,490.62,40.9,12
2006,1.51,0,0.01,18.64,47.64,128.62,146.74,112.55,144.33,55.66,38.52,1.4,695.62,58,12
2007,0.01,33.41,10.53,21.15,51.72,92.25,120.72,124.83,86.24,7.21,0.01,2.7,550.78,45.9,12
2008,,,,,,,,101.55,71.35,12.12,,0,185.02,46.3,4
2009,6.22,0.01,4.01,3.83,45.79,67.98,118.28,119.83,140.97,37.83,0,0.42,545.17,45.4,12
2010,31.84,72.01,4.2,9.42,23.12,27.57,130.3,131.02,45.33,0,0.9,0,475.71,39.6,12
2011,0.02,0,3.21,15.04,13.84,123.54,97.07,48.68,27.72,32.42,29.01,0,390.55,32.5,12
2012,6.21,19.53,5.12,12.25,32.78,118.05,116.25,,,,,,310.19,44.3,7
2014,0,1.51,3.86,42.24,105.52,154.33,112.53,91.43,,57.43,7.83,26.8,603.48,54.9,11
2015,0,11.01,56.84,41.02,126.94,107.92,99.55,125.54,99.94,,2.83,1,672.59,61.1,11
2016,10.91,2.91,69.81,40.41,62.33,132.05,140.13,112.9,70.16,10.83,34.32,3.1,689.86,57.5,12
2017,0,0.01,31.44,25.87,61.86,100.66,207.56,171.62,68.7,47.51,0,3.1,718.33,59.9,12
2018,8.13,2.92,5.16,25.87,61.86,72.05,207.56,192.41,94.61,52,33.11,2.5,758.18,63.2,12
2019,3.2,9.3,0.72,28.68,13.16,100.33,157.33,104,42.96,67.52,20.41,0,547.61,45.6,12
2020,3,5.52,5.42,16.76,38.91,100.94,117.12,84.31,87.91,4.44,0.61,1.81,466.75,38.9,12
2021,10,0.01,1.44,2.52,101.4,139.8,64.3,144.91,164.23,63.63,0.6,0.01,692.85,57.7,12
2022,3,0.7,9.4,26.7,14.5,89.2,173.2,89.8,58.8,40.3,4.5,7.3,517.4,43.1,12
2023,0,0,37.3,9.4,31.7,18.1,149.3,116.9,92.7,56,53.5,6.3,571.2,47.6,12
2024,1.3,13.4,0,11.6,59.7,77,99.8,372.1,110.6,26.8,1.4,5.9,779.6,65,12
2025,22.5,15.1,2.5,14.5,85.3,126.6,132.7,,,,,,399.2,57,7
MÍNIMA,0,0,0,0,0.01,18.1,51.6,48.68,26.9,0,0,0,185.02,25.9,4
MÁXIMA,91,72.01,69.81,73.2,164,203.21,207.56,372.1,180.9,118.6,53.5,32.7,888.6,74,12
MEDIA,8.4,6.6,12.2,22.9,49.3,103,128.7,124.9,91.6,43,8.3,4.5,583.3,50.5,11.6
DESV.ST,15.5,11.5,16.2,17.9,32.6,41.4,39.3,52.5,37.4,27.2,11,7.6,129.6,9.6,1.4
